audio_file|text|speaker_name
wavs/silvio-1_00000000.wav|sérgio chapelein, eu contratei porque ele disse pra mim que ele queria ser animador de programas, queria ser apresentador de programas.|silvio-santos
wavs/silvio-1_00000001.wav|numa das vezes que veio receber um troféu aqui, o público delirou porque ele é um rapaz bonito.|silvio-santos
wavs/silvio-1_00000002.wav|ele veio porque ele queria realizar o sonho dele.|silvio-santos
wavs/silvio-1_00000003.wav|um ano depois, quando terminou o contrato, ele veio com a esposa e disse, silvio, eu não vou ficar.|silvio-santos
wavs/silvio-1_00000004.wav|por que, sérgio?|silvio-santos
wavs/silvio-1_00000005.wav|porque foi...|silvio-santos
wavs/silvio-1_00000006.wav|o aumento que eu tive foi aparente.|silvio-santos
wavs/silvio-1_00000007.wav|eu ganhava exemplos cem na globo, você me deu duzentos.|silvio-santos
wavs/silvio-1_00000008.wav|mas agora a globo não deixa que os meus comerciais entrem na rede globo.|silvio-santos
wavs/silvio-1_00000009.wav|e onde eu ganhava muito era com os meus comerciais.|silvio-santos
wavs/silvio-1_00000010.wav|e como a globo não deixa mais que os meus comerciais entrem na rede globo, eu vou voltar pra globo, porque lá eu ganho menos de ordenado, mas eu ganho mais quando os meus anúncios são colocados na globo.|silvio-santos
wavs/silvio-1_00000011.wav|doutor roberto, o senhor já está com mais para a eternidade do que para a vida.|silvio-santos
wavs/silvio-1_00000012.wav|doutor roberto, será que o senhor não vai convencer os seus diretores?|silvio-santos
wavs/silvio-1_00000013.wav|será que o senhor, a sua esposa que está vivendo, os seus filhos que vão tomar conta da rede globo, será que este homem que o pai morreu, seu pai morreu, e o senhor tinha vinte e três dias de jornal, o senhor não sabia nada de jornal, como eu já disse, o senhor se tornou um dos homens mais importantes do país, conversa com o presidente quando quer, é quase amigo e irmão dos ministros, é admirado pelos seus funcionários, os artistas gostam muito do senhor, e o senhor é um homem polido, o senhor é um homem que não precisa de mais nada, precisa de estar em paz com deus.|silvio-santos
wavs/silvio-1_00000014.wav|para que deus o receba logo, logo nos seus braços.|silvio-santos
wavs/silvio-1_00000016.wav|aí quando o artista quer sair da globo, recebe uma oferta da bandeirantes, da manchete, da record, do sbt.|silvio-santos
wavs/silvio-1_00000017.wav|por que ninguém tira artistas quando não precisa?|silvio-santos
wavs/silvio-1_00000018.wav|a nossa luta não é a luta para ser a melhor televisão do brasil, isso não é a nossa luta, não é a sua, não é a minha, a nossa luta é a luta pela sobrevivência.|silvio-santos
