audio_file|text|speaker_name
wavs/dilma-1_00000001.wav|estou aqui esta noite para dizer que o brasil, depois de conseguir retirar quarenta milhões de brasileiros da pobreza e se transformar na sexta maior economia do mundo, prepara-se para dar um novo salto e para crescer mais e melhor.|dilma
wavs/dilma-1_00000002.wav|não se surpreendam que esta nova arrancada se dê no mesmo momento em que o mundo se debate em um mar de incertezas.|dilma
wavs/dilma-1_00000003.wav|isso não ocorre por acaso.|dilma
wavs/dilma-1_00000004.wav|ao contrário de outros países, o brasil criou nos últimos anos um modelo de desenvolvimento inédito, baseado no crescimento com estabilidade, no equilíbrio fiscal e na distribuição de renda.|dilma
wavs/dilma-1_00000005.wav|esse modelo produziu efeitos tão poderosos na economia e na vida das pessoas que nem mesmo a maior crise financeira da história conseguiu nos abalar fortemente.|dilma
wavs/dilma-1_00000006.wav|como a maioria dos países, tivemos uma redução temporária no índice de crescimento, mas já temos as condições objetivas agora para iniciar este novo e decisivo salto, cujos primeiros efeitos já serão percebidos no próximo ano e que vão se ampliar fortemente nos anos seguintes.|dilma
wavs/dilma-1_00000007.wav|uma coincidência me deixa feliz.|dilma
wavs/dilma-1_00000009.wav|porque ele vai alargar bastante o caminho de afirmação e independência que nosso país vem construindo com muita garra nos últimos dez anos.|dilma
wavs/dilma-1_00000010.wav|minhas amigas e meus amigos, o nosso bem-sucedido modelo de desenvolvimento tem se apoiado em três palavrinhas mágicas, estabilidade, crescimento e inclusão.|dilma
wavs/dilma-1_00000011.wav|com elas, o brasil tem conseguido crescer e, ao mesmo tempo, distribuir renda.|dilma
wavs/dilma-1_00000013.wav|para tornar nosso modelo mais vigoroso e abrir este novo ciclo de desenvolvimento, vamos, a partir de agora, incorporar uma nova palavra a esse tripé.|dilma
wavs/dilma-1_00000014.wav|a palavra é competitividade.|dilma
wavs/dilma-1_00000015.wav|na verdade, é mais que uma nova palavra, é um novo conceito, uma nova atitude.|dilma
wavs/dilma-1_00000016.wav|uma forma simples de definir competitividade é dizer que ela significa baixar custos de produção e baixar preços de produtos para gerar emprego e gerar renda.|dilma
wavs/dilma-1_00000017.wav|mas para chegar aí, é preciso melhorar a infraestrutura, avançar na produção de tecnologia e aprimorar os vários níveis de educação, saber e conhecimento.|dilma
wavs/dilma-1_00000019.wav|é deste conjunto de atributos que o brasil necessita para aperfeiçoar e consolidar nosso modelo de desenvolvimento.|dilma
wavs/dilma-1_00000020.wav|por isso, estamos lançando um conjunto de medidas que irão baixar o custo da nossa energia e do nosso transporte e reforçar com vigor a capacidade de investimento do nosso país.|dilma
wavs/dilma-1_00000021.wav|de forma simultânea, criamos e estamos a ampliar as condições para baixar juros, diminuir impostos e equilibrar o câmbio.|dilma
wavs/dilma-1_00000023.wav|já somos o país que tem a melhor tecnologia social do mundo e nossos instrumentos de política social são copiados em dezenas de países.|dilma
wavs/dilma-1_00000024.wav|estamos agora lançando as bases concretas para sermos, no médio e no longo prazo, um dos países com melhor infraestrutura, com melhor tecnologia industrial, melhor eficiência produtiva e menor custo de produção.|dilma
wavs/dilma-1_00000025.wav|minhas amigas e meus amigos, na próxima terça-feira vamos dar um importante passo nessa direção.|dilma
wavs/dilma-1_00000026.wav|vou ter o prazer de anunciar a mais forte redução que se tem notícia neste país nas tarifas de energia elétrica das indústrias e dos consumidores domésticos.|dilma
wavs/dilma-1_00000027.wav|a medida vai entrar em vigor no início de dois mil e treze.|dilma
